id,rank,name,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
2,1,Walmart,2300000,1,485873.0,0.008,13643.0,-0.072,198825.0,218619.0
3,2,Berkshire Hathaway,367700,4,223604.0,0.061,24074.0,0.0,620854.0,411035.0
4,3,Apple,116000,3,215639.0,-0.077,45687.0,-0.144,321686.0,753718.0
5,4,Exxon Mobil,72700,2,205004.0,-0.167,7840.0,-0.515,330314.0,340056.0
6,5,McKesson,68000,5,192487.0,0.062,2258.0,0.53,56563.0,31439.0
7,6,UnitedHealth Group,230000,6,184840.0,0.177,7017.0,0.207,122810.0,157793.0
8,7,CVS Health,204000,7,177526.0,0.158,5317.0,0.015,94462.0,81310.0
9,8,General Motors,225000,8,166380.0,0.092,9427.0,-0.027,221690.0,52968.0
10,9,AT&T,268540,10,163786.0,0.116,12976.0,-0.028,403821.0,255679.0
11,10,Ford Motor,201000,9,151800.0,0.015,4596.0,-0.377,237951.0,46349.0
12,11,AmerisourceBergen,18500,12,146850.0,0.08,1427.9,,33656.0,19229.0
13,12,Amazon.com,341400,18,135987.0,0.271,2371.0,2.978,83402.0,423031.0
14,13,General Electric,295000,11,126661.0,-0.098,8831.0,,365183.0,259520.0
15,14,Verizon,160900,13,125980.0,-0.043,13127.0,-0.266,244180.0,198900.0
16,15,Cardinal Health,37300,21,121546.0,0.185,1427.0,0.174,34122.0,25725.0
17,16,Costco,172000,15,118719.0,0.022,2350.0,-0.011,33163.0,73606.0
18,17,Walgreens Boots Alliance,300000,19,117351.0,0.134,4173.0,-0.011,72688.0,89645.0
19,18,Kroger,443000,17,115337.0,0.05,1975.0,-0.031,36505.0,26961.0
20,19,Chevron,55200,14,107567.0,-0.18,-497.0,-1.108,260078.0,203263.0
21,20,Fannie Mae,7000,16,107162.0,-0.029,12313.0,0.124,3287968.0,3011.0
22,21,J.P. Morgan Chase,243355,23,105486.0,0.044,24733.0,0.012,2490972.0,313761.0
23,22,Express Scripts Holding,25600,22,100288.0,-0.014,3404.4,0.375,51745.0,39567.0
24,23,Home Depot,406000,28,94595.0,0.069,7957.0,0.135,42966.0,176368.0
25,24,Boeing,150540,24,94571.0,-0.016,4895.0,-0.054,89997.0,107546.0
26,25,Wells Fargo,269100,27,94176.0,0.046,21938.0,-0.042,1930115.0,278516.0
27,26,Bank of America Corp.,208024,26,93662.0,0.007,17906.0,0.127,2187702.0,236182.0
28,27,Alphabet,72053,36,90272.0,0.204,19478.0,0.191,167497.0,579426.0
29,28,Microsoft,114000,25,85320.0,-0.088,16798.0,0.378,193694.0,508935.0
30,29,Anthem,53000,33,84863.0,0.072,2469.8,-0.035,65083.0,43813.0
31,30,Citigroup,219000,29,82386.0,-0.067,14912.0,-0.135,1792077.0,165394.0
32,31,Comcast,159000,37,80403.0,0.079,8695.0,0.065,180500.0,178258.0
33,32,IBM,414400,31,79919.0,-0.031,11872.0,-0.1,117470.0,164251.0
34,33,State Farm Insurance Cos.,68234,35,76132.0,0.006,350.3,-0.944,256030.0,
35,34,Phillips 66,14800,30,72396.0,-0.169,1555.0,-0.632,51653.0,40954.0
36,35,Johnson & Johnson,126400,39,71890.0,0.026,16540.0,0.073,141208.0,337642.0
37,36,Procter & Gamble,105000,34,71726.0,-0.089,10508.0,0.493,127136.0,229700.0
38,37,Valero Energy,9996,32,70166.0,-0.142,2289.0,-0.426,46173.0,29746.0
39,38,Target,323000,38,69495.0,-0.058,2737.0,-0.186,37431.0,30502.0
40,39,Freddie Mac,5982,43,65665.0,0.034,7815.0,0.226,2023376.0,1612.0
41,40,Lowe,240000,47,65017.0,0.101,3093.0,0.215,34408.0,70481.0
42,41,Dell Technologies,138000,,64806.0,0.181,-1672.0,,118206.0,
43,42,MetLife,58000,40,63476.0,-0.093,800.0,-0.849,898764.0,57429.0
44,43,Aetna,49500,46,63155.0,0.047,2271.0,-0.05,69146.0,44859.0
45,44,PepsiCo,264000,44,62799.0,-0.004,6329.0,0.161,74129.0,159763.0
46,45,Archer Daniels Midland,31800,41,62346.0,-0.079,1279.0,-0.308,39769.0,26274.0
47,46,UPS,335520,48,60906.0,0.044,3431.0,-0.292,40377.0,93276.0
48,47,Intel,106000,51,59387.0,0.073,10316.0,-0.097,113327.0,170539.0
49,48,Prudential Financial,49739,50,58779.0,0.029,4368.0,-0.226,783962.0,45912.0
50,49,Albertsons Cos.,274000,,58734.0,1.159,-502.2,,23770.0,
51,50,United Technologies,201600,45,57244.0,-0.062,5055.0,-0.336,89706.0,89957.0
52,51,Marathon Petroleum,44460,42,55858.0,-0.135,1174.0,-0.588,44413.0,26679.0
53,52,Disney,195000,53,55632.0,0.06,9391.0,0.12,92033.0,179298.0
54,53,Humana,51600,52,54379.0,0.002,614.0,-0.519,25396.0,29743.0
55,54,Pfizer,96500,55,52824.0,0.081,7215.0,0.037,171615.0,203725.0
56,55,AIG,56400,49,52367.0,-0.102,-849.0,-1.387,498264.0,61154.0
57,56,Lockheed Martin,97000,60,50658.0,0.098,5302.0,0.471,47806.0,77557.0
58,57,Sysco,51900,57,50367.0,0.035,949.6,0.383,16722.0,28048.0
59,58,FedEx,335767,58,50365.0,0.061,1820.0,0.733,46064.0,52178.0
60,59,Hewlett Packard Enterprise,195000,,50123.0,,3161.0,,79679.0,39288.0
61,60,Cisco Systems,73700,54,49247.0,0.002,10739.0,0.196,121652.0,169266.0
62,61,HP,49000,20,48238.0,-0.533,2496.0,-0.452,29010.0,30231.0
63,62,Dow Chemical,56000,56,48158.0,-0.013,4318.0,-0.438,79511.0,77460.0
64,63,HCA Holdings,210500,63,44747.0,0.027,2890.0,0.357,33758.0,32966.0
65,64,Coca-Cola,100300,62,41863.0,-0.055,6527.0,-0.112,87270.0,182153.0
66,65,New York Life Insurance,11320,61,40787.0,-0.111,1088.1,3.241,287196.0,
67,66,Centene,30500,124,40721.0,0.786,562.0,0.583,20197.0,12271.0
68,67,American Airlines Group,122300,67,40180.0,-0.02,2676.0,-0.648,51274.0,21326.0
69,68,Nationwide,34320,69,40074.0,-0.004,334.3,-0.424,197790.0,
70,69,Merck,68000,72,39807.0,0.008,3920.0,-0.118,95377.0,174454.0
71,70,Cigna,41000,79,39668.0,0.047,1867.0,-0.108,59360.0,37604.0
72,71,Delta Air Lines,83756,68,39639.0,-0.026,4373.0,-0.034,51261.0,33586.0
73,72,Best Buy,125000,71,39403.0,-0.009,1228.0,0.369,13856.0,15193.0
74,73,Honeywell International,131000,75,39302.0,0.019,4809.0,0.009,54146.0,94991.0
75,74,Caterpillar,95400,59,38537.0,-0.18,-67.0,-1.032,74704.0,54402.0
76,75,Liberty Mutual Insurance Group,50000,73,38308.0,-0.029,1006.0,0.957,125592.0,
77,76,Morgan Stanley,55311,78,37949.0,0.001,5979.0,-0.024,814949.0,79947.0
78,77,Massachusetts Mutual Life Insurance,11737,76,37788.0,-0.012,1273.5,-0.106,271040.0,
79,78,Goldman Sachs Group,34400,74,37712.0,-0.038,7398.0,0.216,860165.0,91380.0
80,79,Energy Transfer Equity,30992,65,37504.0,-0.11,995.0,-0.163,79011.0,21292.0
81,80,TIAA,12997,82,37105.0,0.055,1492.3,0.229,523194.0,
82,81,Oracle,136000,77,37047.0,-0.031,8901.0,-0.104,112180.0,183556.0
83,82,Tyson Foods,114000,66,36881.0,-0.109,1768.0,0.449,22373.0,22028.0
84,83,United Continental Holdings,88000,80,36556.0,-0.035,2263.0,-0.692,40140.0,22225.0
85,84,Allstate,43275,81,36534.0,0.025,1877.0,-0.135,108610.0,29754.0
86,85,Publix Super Markets,191000,87,34274.0,0.051,2025.7,0.031,17464.0,
87,86,American Express,56400,85,33823.0,-0.018,5408.0,0.047,158893.0,71193.0
88,87,TJX,235000,89,33184.0,0.072,2298.2,0.009,12884.0,51053.0
89,88,Nike,70700,91,32376.0,0.058,3760.0,0.149,21396.0,92204.0
90,89,Exelon,34396,95,31360.0,0.065,1134.0,-0.5,114904.0,33309.0
91,90,General Dynamics,98800,88,31353.0,-0.004,2955.0,-0.003,32872.0,56791.0
92,91,Rite Aid,70580,107,30737.0,0.159,165.5,-0.922,11277.0,4473.0
93,92,Gilead Sciences,9000,86,30390.0,-0.069,13501.0,-0.254,56977.0,88788.0
94,93,CHS,12157,84,30347.0,-0.122,424.2,-0.457,17318.0,
95,94,3M,91584,93,30109.0,-0.005,5050.0,0.045,32906.0,114338.0
96,95,Time Warner,25000,99,29318.0,0.043,3926.0,0.024,65966.0,75660.0
97,96,Charter Communications,91500,292,29003.0,1.973,3522.0,,149067.0,100595.0
98,97,Northwestern Mutual,5646,100,28799.0,0.024,818.0,0.004,250441.0,
99,98,Facebook,17048,157,27638.0,0.542,10217.0,1.77,64961.0,410522.0
100,99,Travelers Cos.,30900,105,27625.0,0.031,3014.0,-0.124,100245.0,33689.0
101,100,Capital One Financial,47300,112,27519.0,0.096,3751.0,-0.074,357033.0,41831.0
102,101,Twenty-First Century Fox,21500,96,27326.0,-0.057,2755.0,-0.668,48365.0,59949.0
103,102,USAA,29943,114,27131.0,0.114,1779.1,-0.217,147290.0,
104,103,World Fuel Services,5000,92,27016.0,-0.111,126.5,-0.275,5413.0,2535.0
105,104,Philip Morris International,79500,106,26685.0,-0.004,6967.0,0.014,36851.0,175349.0
106,105,Deere,56767,97,26644.0,-0.077,1523.9,-0.214,57981.0,34648.0
107,106,Kraft Heinz,41000,153,26487.0,0.444,3632.0,4.729,120480.0,110528.0
108,107,Tech Data,9500,108,26235.0,-0.005,195.1,-0.266,7932.0,3569.0
109,108,Avnet,17700,102,26219.0,-0.061,506.5,-0.114,11240.0,5898.0
110,109,Mondelez International,90000,102,25923.0,-0.125,1659.0,-0.772,61538.0,65676.0
111,110,Macy,148300,103,25778.0,-0.048,619.0,-0.423,19851.0,9046.0
112,111,AbbVie,30000,123,25638.0,0.122,5953.0,0.157,66099.0,103838.0
113,112,McDonald,375000,109,24622.0,-0.031,4686.5,0.035,31024.0,106150.0
114,113,DuPont,46000,101,24594.0,-0.12,2513.0,0.287,39964.0,69451.0
115,114,Northrop Grumman,67000,118,24508.0,0.042,2200.0,0.106,25614.0,41577.0
116,115,ConocoPhillips,13300,90,24360.0,-0.213,-3615.0,,89772.0,61692.0
117,116,Raytheon,63000,120,24069.0,0.035,2211.0,0.066,30052.0,44664.0
118,117,Tesoro,6308,98,24005.0,-0.147,734.0,-0.523,20398.0,9515.0
119,118,Arrow Electronics,18700,119,23825.0,0.023,522.8,0.05,14206.0,6546.0
120,119,Qualcomm,30500,110,23554.0,-0.068,5705.0,0.082,52359.0,84694.0
121,120,Progressive,31721,137,23441.0,0.124,1031.0,-0.187,33428.0,22760.0
